"Nr okręgu";"Nr listy";"Pozycja na liście";"Nazwisko i imiona";"Nazwa komitetu";"Płeć";"Zawód";"Miejsce zamieszkania";"TERYT m. z.";"Gmina m. z.";"Przynależność do partii";"Poparcie";"Liczba głosów";"Procent głosów oddanych na listę";"Procent głosów oddanych w okręgu";"Czy uzyskał mandat"
1;3;5;"Jolanta Paulina STENCEL";"KOMITET WYBORCZY WYBORCÓW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA W NORMALNEJ EUROPIE";"Kobieta";"agent nieruchomości";"Kartuzy";"220502";"gm. Kartuzy";"nie należy do partii politycznej";"";649;"7,74";"0,09";"Nie"
1;3;6;"Krzysztof PAWŁOT";"KOMITET WYBORCZY WYBORCÓW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA W NORMALNEJ EUROPIE";"Mężczyzna";"informatyk";"Bystrze";"220906";"gm. Miłoradz";"nie należy do partii politycznej";"";320;"3,81";"0,04";"Nie"
1;3;7;"Agata GIL";"KOMITET WYBORCZY WYBORCÓW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA W NORMALNEJ EUROPIE";"Kobieta";"kosmetolog";"Starogard Gdański";"221303";"m. Starogard Gdański";"nie należy do partii politycznej";"";794;"9,46";"0,11";"Nie"
1;3;8;"Marika Magdalena SĘDZICKA";"KOMITET WYBORCZY WYBORCÓW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA W NORMALNEJ EUROPIE";"Kobieta";"sprzedawca";"Modrzejewo";"220110";"gm. Tuchomie";"nie należy do partii politycznej";"";277;"3,30";"0,04";"Nie"
1;3;9;"Jerzy LUTY";"KOMITET WYBORCZY WYBORCÓW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA W NORMALNEJ EUROPIE";"Mężczyzna";"rolnik";"Sołtyski";"220705";"gm. Ryjewo";"nie należy do partii politycznej";"";538;"6,41";"0,07";"Nie"
1;3;10;"Leszek Józef KACZYŃSKI";"KOMITET WYBORCZY WYBORCÓW BEZPARTYJNI SAMORZĄDOWCY-NORMALNA POLSKA W NORMALNEJ EUROPIE";"Mężczyzna";"rolnik";"Skarszewy";"221309";"gm. Skarszewy";"nie należy do partii politycznej";"";414;"4,94";"0,06";"Nie"
1;4;1;"Jakub PERKOWSKI";"KOMITET WYBORCZY POLEXIT";"Mężczyzna";"ekonomista";"Warszawa";"146510";"Śródmieście";"członek partii politycznej: Federacja dla Rzeczypospolitej";"";1132;"46,83";"0,15";"Nie"
1;4;2;"Piotr Jan CZARNEK";"KOMITET WYBORCZY POLEXIT";"Mężczyzna";"lekarz dentysta";"Kraków";"126101";"m. Kraków";"członek partii politycznej: PolExit";"";317;"13,12";"0,04";"Nie"
1;4;3;"Janina JAROSIŃSKA";"KOMITET WYBORCZY POLEXIT";"Kobieta";"pracownik socjalny";"Nowy Dwór Mazowiecki";"141401";"m. Nowy Dwór Mazowiecki";"nie należy do partii politycznej";"";96;"3,97";"0,01";"Nie"
1;4;4;"Anna Katarzyna ZIÓŁKOWSKA";"KOMITET WYBORCZY POLEXIT";"Kobieta";"technik technologii chemicznej";"Okleśna";"120301";"gm. Alwernia";"nie należy do partii politycznej";"";162;"6,70";"0,02";"Nie"
1;4;5;"Adam Walter MEISNEROWICZ";"KOMITET WYBORCZY POLEXIT";"Mężczyzna";"trener sportu";"Bełk";"241201";"gm. Czerwionka-Leszczyny";"nie należy do partii politycznej";"";56;"2,32";"0,01";"Nie"
1;4;6;"Katarzyna Monika SKRZYŃSKA";"KOMITET WYBORCZY POLEXIT";"Kobieta";"pracownik biurowy";"Dąbrowa Górnicza";"246501";"m. Dąbrowa Górnicza";"nie należy do partii politycznej";"";111;"4,59";"0,01";"Nie"
1;4;7;"Janusz Franciszek ZIĘBA";"KOMITET WYBORCZY POLEXIT";"Mężczyzna";"specjalista ds. BHP";"Kraków";"126101";"m. Kraków";"nie należy do partii politycznej";"";117;"4,84";"0,02";"Nie"
1;4;8;"Cecylia Marianna SZATAN";"KOMITET WYBORCZY POLEXIT";"Kobieta";"emeryt";"Olkusz";"121205";"gm. Olkusz";"nie należy do partii politycznej";"";217;"8,98";"0,03";"Nie"
1;4;9;"Paweł Piotr MACIĄGA";"KOMITET WYBORCZY POLEXIT";"Mężczyzna";"inżynier mechanik - środki transportu";"Kraków";"126101";"m. Kraków";"nie należy do partii politycznej";"";59;"2,44";"0,01";"Nie"
1;4;10;"Szymon Gerard KRÓL";"KOMITET WYBORCZY POLEXIT";"Mężczyzna";"nauczyciel historii";"Katowice";"246901";"m. Katowice";"nie należy do partii politycznej";"";150;"6,21";"0,02";"Nie"
1;5;1;"Janusz Antoni LEWANDOWSKI";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"Mężczyzna";"ekonomista";"Sopot";"226401";"m. Sopot";"członek partii politycznej: Platforma Obywatelska RP";"";133444;"35,16";"17,95";"Tak"
1;5;2;"Magdalena ADAMOWICZ";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"Kobieta";"prawniczka";"Gdańsk";"226101";"m. Gdańsk";"nie należy do partii politycznej";"";204207;"53,80";"27,47";"Tak"
1;5;3;"Jacek Karol BENDYKOWSKI";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"Mężczyzna";"radca prawny";"Gdańsk";"226101";"m. Gdańsk";"członek partii politycznej: Platforma Obywatelska RP";"";16492;"4,34";"2,22";"Nie"
1;5;4;"Iwona Teresa MIELEWCZYK";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"Kobieta";"dyrektorka szkoły podstawowej";"Osowo Lęborskie";"220803";"gm. Cewice";"członek partii politycznej: Platforma Obywatelska RP";"";5078;"1,34";"0,68";"Nie"
1;5;5;"Piotr Witold WITTBRODT";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"Mężczyzna";"ekonomista";"Gdynia";"226201";"m. Gdynia";"członek partii politycznej: Platforma Obywatelska RP";"";5933;"1,56";"0,80";"Nie"
1;5;6;"Grażyna BRYLOWSKA";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"Kobieta";"przedsiębiorca";"Gdańsk";"226101";"m. Gdańsk";"członek partii politycznej: Platforma Obywatelska RP";"";2664;"0,70";"0,36";"Nie"
1;5;7;"Mirosław Zbigniew KUREK";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"Mężczyzna";"manager";"Gdańsk";"226101";"m. Gdańsk";"członek partii politycznej: Platforma Obywatelska RP";"";1126;"0,30";"0,15";"Nie"
1;5;8;"Wiktoria Joanna KREZYMON";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"Kobieta";"prawniczka";"Gdańsk";"226101";"m. Gdańsk";"członek partii politycznej: Platforma Obywatelska RP";"";2877;"0,76";"0,39";"Nie"
1;5;9;"Jakub WRÓBEL";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"Mężczyzna";"pracownik administracyjno-biurowy";"Gdańsk";"226101";"m. Gdańsk";"członek partii politycznej: Platforma Obywatelska RP";"";2223;"0,59";"0,30";"Nie"
